year,cpi
1975,40.109550561797754
1976,41.80224719101123
1977,43.347752808988766
1978,44.5252808988764
1979,46.365168539325836
1980,48.867415730337086
1981,51.95842696629214
1982,54.6814606741573
1983,56.44775280898877
1984,57.84606741573034
1985,59.02359550561798
1986,58.949999999999996
1987,59.09719101123596
1988,59.833146067415726
1989,61.525842696629205
1990,63.14494382022472
1991,65.5
1992,68.8
1993,71.9
1994,73.8
1995,75.1
1996,76.1
1997,77.6
1998,78.3
1999,78.8
2000,79.9
2001,81.5
2002,82.6
2003,83.5
2004,84.9
2005,86.2
2006,87.6
2007,89.6
2008,91.9
2009,92.2
2010,93.2
2011,95.2
2012,97.1
2013,98.5
2014,99.5
2015,100
2016,100.5
2017,102
