beruf_gr,kldb92_2,n_kldb92_2
5,14,1
6,14,1
7,15,1
8,16,1
9,17,1
10,17,1
11,18,1
13,21,1
14,22,1
15,22,1
16,22,1
18,24,1
20,26,1
21,26,1
22,27,1
23,27,1
24,27,1
25,28,1
26,28,1
27,28,1
29,30,1
30,31,1
31,31,1
32,31,1
33,32,1
34,32,1
35,32,1
38,39,1
39,40,1
40,41,1
42,44,1
43,45,1
44,45,1
45,46,1
46,46,1
47,47,1
48,48,1
49,48,1
51,50,1
52,51,1
53,51,1
54,52,1
55,52,1
56,53,1
57,54,1
58,54,1
59,60,1
60,60,1
61,60,1
62,60,1
63,61,1
64,62,1
65,62,1
66,62,1
67,62,1
68,62,1
69,63,1
70,63,1
71,63,1
72,68,1
73,68,1
74,68,1
75,68,1
76,69,1
77,69,1
78,70,1
79,70,1
80,71,1
81,71,1
82,72,1
83,73,1
84,74,1
85,74,1
86,74,1
87,75,1
88,75,1
89,76,1
90,77,1
91,77,1
92,77,1
93,78,1
94,78,1
95,78,1
96,79,1
97,79,1
99,82,1
100,83,1
101,83,1
102,84,1
103,85,1
104,85,1
105,85,1
106,85,1
107,85,1
109,86,1
110,86,1
111,87,1
112,87,1
113,88,1
114,90,1
115,91,1
116,91,1
117,92,1
118,93,1
119,93,1
120,93,1
2,5,2
2,6,2
4,12,2
4,13,2
12,19,2
12,20,2
17,23,2
17,24,2
19,25,2
19,26,2
28,29,2
28,30,2
37,35,2
37,36,2
41,42,2
41,43,2
50,49,2
50,50,2
98,80,2
98,81,2
108,86,2
108,89,2
36,33,3
36,34,3
36,37,3
1,1,4
1,2,4
1,3,4
1,4,4
3,7,5
3,8,5
3,9,5
3,10,5
3,11,5
