beruf_gr,occ_blo,n_occ_blo
3,2,1
5,2,1
7,2,1
9,3,1
11,2,1
13,2,1
14,3,1
15,2,1
16,2,1
17,2,1
18,2,1
20,3,1
21,3,1
22,3,1
23,3,1
24,3,1
25,3,1
26,3,1
27,3,1
30,3,1
32,3,1
33,2,1
34,2,1
35,2,1
38,3,1
44,2,1
45,2,1
47,2,1
51,3,1
52,3,1
53,2,1
54,2,1
55,2,1
56,2,1
58,2,1
59,5,1
60,5,1
61,5,1
62,5,1
63,5,1
64,4,1
65,4,1
66,4,1
67,4,1
68,4,1
69,4,1
70,4,1
71,4,1
72,11,1
73,10,1
76,11,1
77,11,1
78,11,1
81,6,1
84,6,1
85,6,1
86,6,1
87,12,1
88,12,1
89,12,1
90,11,1
91,10,1
92,11,1
93,11,1
94,10,1
95,10,1
96,6,1
97,6,1
99,8,1
100,7,1
102,9,1
103,7,1
104,8,1
105,7,1
107,7,1
109,8,1
110,8,1
112,8,1
114,7,1
115,6,1
116,6,1
118,6,1
119,6,1
120,6,1
2,1,2
2,5,2
4,2,2
4,3,2
6,3,2
6,2,2
8,2,2
8,3,2
10,3,2
10,2,2
12,2,2
12,3,2
19,3,2
19,2,2
28,3,2
28,2,2
29,4,2
29,3,2
31,3,2
31,2,2
36,3,2
36,2,2
37,3,2
37,2,2
39,3,2
39,2,2
40,3,2
40,2,2
41,3,2
41,2,2
42,3,2
42,2,2
43,3,2
43,2,2
46,2,2
46,3,2
48,3,2
48,2,2
49,3,2
49,2,2
50,3,2
50,2,2
57,3,2
57,2,2
75,10,2
75,6,2
80,7,2
80,6,2
83,10,2
83,4,2
101,7,2
101,6,2
106,7,2
106,4,2
111,9,2
111,8,2
113,9,2
113,5,2
117,7,2
117,6,2
1,1,3
1,11,3
1,5,3
74,11,3
74,7,3
74,6,3
79,11,3
79,7,3
79,6,3
82,4,3
82,6,3
82,5,3
98,7,3
98,6,3
98,9,3
108,8,3
108,9,3
108,7,3
